Genus;Species;Center Lat;Center Long;C-Square;Depth (m);Surface Water Temp. (°C);Bottom Water Temp. (°C);Surface Salinity (psu);Bottom Salinity (psu);Primary Production (mgC·m-3·day-1);Sea Ice Concentration (0-1 fraction);Dissolved Bottom Oxygen (mmol·m-3);Distance to Land (km)
Sardinella;aurita;-38.25;-57.25;5305:487:1;43;15.0418129;11.94663811;32.84017944;33.56679916;18.40100065;0;270.5519409;82
Sardinella;aurita;-37.75;-57.75;5305:477:4;17;15.51894569;14.92703342;29.3838768;32.98948669;18.07286032;0;267.9219666;0
Sardinella;aurita;-37.25;21.25;3302:371:1;3832;21.06026649;0.815436006;35.46784592;34.76313019;11.04999986;0;219.4962616;336
Sardinella;aurita;-36.75;-55.75;5305:465:4;29;16.10267639;14.06337643;27.45671844;33.71162796;35.28499976;0;269.4363403;111
Sardinella;aurita;-36.75;-52.25;5305:362:3;3219;19.48365021;1.584025979;35.89255905;34.73179626;24.59100075;0;231.9214783;309
Sardinella;aurita;-36.75;-55.25;5305:465:3;48;15.49399471;10.05920124;30.00716591;33.91820526;45.28100044;0;276.1924438;156
Sardinella;aurita;-34.75;20.25;3302:140:3;52;17.92082405;15.41630077;35.51060867;35.22655106;26.15400031;0;191.9469147;17
Sardinella;aurita;-34.75;-54.25;5305:144:3;28;17.03334236;14.39290905;30.04137993;33.87141418;41.51200131;0;264.9350586;16
Sardinella;aurita;-31.25;-50.75;5305:110:2;35;19.64027023;19.40668678;34.03835297;36.18856812;44.99499872;0;222.7884369;19
Sardinella;aurita;-29.75;-49.25;5204:499:3;74;21.00865173;19.15709877;35.10231018;36.36445236;9.274000302;0;198.6703033;87
Sardinella;aurita;-27.75;-48.25;5204:478:3;50;21.74873161;19.23953056;35.40459824;36.38632584;6.624999922;0;198.4468079;24
Sardinella;aurita;-27.75;-48.75;5204:478:4;15;21.42740059;21.08378601;35.13491821;36.15917587;12.25709729;0;222.1359711;6
Sardinella;aurita;-27.25;-48.25;5204:478:1;39;21.90114021;19.9527626;35.40963364;36.36717224;11.14000008;0;205.6757355;24
Sardinella;aurita;-25.25;-47.75;5204:457:2;22;22.94212151;21.86516953;35.11722946;35.56216431;4.333999939;0;231.3843384;25
Sardinella;aurita;-24.75;-47.75;5204:247:4;10;23.04497528;23.14585495;34.76757431;35.05772781;4.846000113;0;219.878418;8
Sardinella;aurita;-24.25;-46.25;5204:246:1;38;23.2967701;20.57438087;35.85988235;36.24436951;13.45499977;0;217.3709717;50
Sardinella;aurita;-23.75;-45.25;5204:235:3;49;23.44502258;23.23439217;36.04138947;36.09441376;20.35400085;0;225.4279633;19
Sardinella;aurita;-23.75;-46.25;5204:236:3;43;23.45882225;22.95336914;35.54825211;35.69953918;16.5595673;0;224.5776672;5
Sardinella;aurita;-23.25;-43.25;5204:133:1;74;23.2908287;18.69041634;36.4451828;36.38629532;32.24600106;0;208.602356;86
Sardinella;aurita;-22.75;-42.75;5204:122:4;26;23.38711739;22.3986721;36.33410645;36.3336525;27.4006892;0;215.636795;4
Sardinella;aurita;-22.75;-43.25;5204:123:3;8;23.4783287;23.66858864;36.31152344;36.18513107;34.57599878;0;218.4372406;8
Sardinella;aurita;-22.75;14.25;3201:124:3;93;15.26634502;14.47493744;35.15172195;35.16149902;110.2669984;0;13.27858353;50
Sardinella;aurita;-22.25;11.75;3201:121:2;2607;18.19034576;2.626502037;35.34201813;34.89622879;22.90299907;0;222.8241119;255
Sardinella;aurita;-21.75;13.75;3201:113:4;101;16.20396614;15.08364487;35.22209549;35.21708679;103.3660024;0;23.9148407;25
Sardinella;aurita;-20.25;-40.25;5204:100:1;24;24.52112961;25.35993958;36.75934219;37.01903534;12.21400034;0;209.0646667;14
Sardinella;aurita;-18.75;12.25;3101:382:3;87;16.63045883;17.4185524;35.72409821;35.47577286;67.50400364;0;122.1546326;20
Sardinella;aurita;-17.25;11.75;3101:371:2;123;18.05231857;19.12477875;35.79440308;35.63025665;75.82086325;0;202.937149;16
Sardinella;aurita;-16.75;11.75;3101:361:4;75;18.70983696;20.42092514;35.76654434;35.74681091;91.38599783;0;213.8145599;18
Sardinella;aurita;-16.25;11.75;3101:361:2;213;19.59871292;21.00342751;35.79101181;35.76788712;78.03100348;0;208.9391479;19
Sardinella;aurita;-14.25;12.25;3101:142:1;1206;22.85420227;17.61874008;35.77308273;35.4466095;49.96399954;0;67.70904541;22
Sardinella;aurita;-13.25;12.75;3101:132:2;500;23.60713959;13.75996971;35.49111557;35.09297943;50.24104565;0;105.1572647;14
Sardinella;aurita;-12.75;12.25;3101:122:3;2174;24.58412361;3.104203939;35.36123276;34.91634369;22.31499925;0;222.6505585;95
Sardinella;aurita;-12.75;13.25;3101:123:3;144;23.75712776;18.8429203;35.29135513;35.24112701;57.25772679;0;148.0126801;7
Sardinella;aurita;-12.25;13.25;3101:123:1;608;24.52466965;6.699042797;35.1985054;34.59204483;44.04800013;0;62.17486572;51
Sardinella;aurita;-12.25;13.75;3101:123:2;109;24.06075859;23.40060425;35.06924438;35.37983322;62.98220158;0;194.5081024;8
Sardinella;aurita;-11.75;13.75;3101:113:4;95;24.39309311;25.05516434;35.09050751;35.43208313;63.94000351;0;213.1802673;18
Sardinella;aurita;-11.25;11.25;3101:111:1;3724;25.28074646;2.07635498;35.62844849;34.90200806;10.35999972;0;230.4194489;284
Sardinella;aurita;-11.25;13.25;3101:113:1;983;24.97364426;4.340947151;34.82960892;34.5462532;27.99700014;0;129.3799438;82
Sardinella;aurita;-11.25;13.75;3101:113:2;198;24.31923485;25.03210258;34.88418961;35.44823456;63.57800215;0;213.299057;20
Sardinella;aurita;-10.75;13.25;3101:103:3;672;24.93501472;9.351810455;34.59341812;34.82464981;33.92000124;0;38.27967072;82
Sardinella;aurita;-10.75;13.75;3101:103:4;73;24.39640045;24.92662239;34.57889557;35.3887291;58.99899453;0;209.2186279;17
Sardinella;aurita;-10.25;13.25;3101:103:1;141;24.81126213;18.05249977;34.20882416;35.63088608;36.39499843;0;60.66358948;27
Sardinella;aurita;-10.25;13.75;3101:103:2;39;24.46325493;24.95827103;34.27087021;35.35627365;54.86299098;0;206.9837646;3
Sardinella;aurita;-9.75;12.75;3001:392:4;713;25.11406326;9.360078812;34.09503555;34.82809448;28.55199948;0;36.12737274;82
Sardinella;aurita;-9.75;13.25;3001:393:3;108;24.66608429;25.29545021;34.03878021;34.9887886;36.20899841;0;213.0030975;18
Sardinella;aurita;-9.25;12.75;3001:392:2;459;24.94424438;15.76165295;33.83712769;35.55854034;40.40100053;0;14.43642807;82
Sardinella;aurita;-9.25;13.25;3001:393:1;59;24.60585594;25.04053879;33.7933197;34.78961945;44.83089969;0;208.0899506;10
Sardinella;aurita;-8.75;13.25;3001:383:3;84;24.55580139;25.32575989;33.53884888;34.55678558;50.87799951;0;214.0771027;19
Sardinella;aurita;-8.25;12.75;3001:382:2;731;25.14134216;9.964425087;32.9316864;35.06076813;27.31899917;0;30.20672607;83
Sardinella;aurita;-8.25;13.25;3001:383:1;82;24.65878677;24.99014091;32.95918274;35.4167099;39.02399912;0;196.2893677;20
Sardinella;aurita;-7.75;12.75;3001:372:4;276;25.09815407;16.59007263;32.00939178;35.63789749;26.26400068;0;31.93611526;51
Sardinella;aurita;-7.75;13.25;3001:373:3;45;24.83521461;24.86474037;31.60168266;35.42541885;35.75515747;0;197.641983;8
Sardinella;aurita;-7.25;12.25;3001:372:1;295;25.52728081;14.9017849;31.2942276;35.53548813;22.53299952;0;8.448854446;83
Sardinella;aurita;-7.25;12.75;3001:372:2;66;25.0500164;24.53049088;30.63122559;35.4635582;27.2489991;0;199.6640778;24
Sardinella;aurita;-6.75;12.25;3001:362:3;55;25.33964348;21.43421364;22.6366787;35.72000122;50.91299862;0;146.4760742;83
Sardinella;aurita;-6.75;12.75;3001:362:4;16;25.12773132;24.77700996;28.11045265;35.41357803;32.94580057;0;202.1552277;12
Sardinella;aurita;-6.75;11.75;3001:361:4;462;25.84476089;10.6195488;27.74227715;35.05443192;33.11499953;0;27.31177711;134
Sardinella;aurita;-6.25;12.75;3001:362:2;3;25.2322731;24.67707443;27.25688553;35.47971725;30.3953141;0;200.8488007;1
Sardinella;aurita;-6.25;11.75;3001:361:2;166;25.74138641;16.2977581;19.52655792;35.685009;57.96699971;0;30.58358574;111
Sardinella;aurita;-6.25;12.25;3001:362:1;33;25.45708084;26.05577469;17.86419487;34.69823837;59.8269999;0;232.2835999;25
Sardinella;aurita;-5.75;11.75;3001:351:4;165;25.70713234;18.30089188;17.55157089;35.76205444;48.67099971;0;89.90531158;96
Sardinella;aurita;-5.75;12.25;3001:352:3;36;25.36749268;24.57303619;25.13087463;35.46439743;29.87779677;0;202.3865662;17
Sardinella;aurita;-5.25;-33.75;5003:353:2;4343;27.71225357;0.858120978;36.05186081;34.72489929;1.037999988;0;237.934967;201
Sardinella;aurita;-5.25;11.75;3001:351:2;137;25.53790092;19.10503387;21.02547455;35.82299042;23.78300019;0;107.4209442;83
Sardinella;aurita;-5.25;12.25;3001:352:1;15;25.46442223;24.49244881;25.2651577;35.50388336;25.86755343;0;199.854126;11
Sardinella;aurita;-4.75;10.75;3001:140:4;1907;26.05322838;3.485893965;29.47011948;34.95180511;15.3280003;0;220.4189911;129
Sardinella;aurita;-4.75;-37.25;5003:247:3;17;27.76387405;27.6566143;35.80730057;36.19320297;8.58100038;0;201.2161865;15
Sardinella;aurita;-4.75;11.75;3001:141:4;51;25.50909805;24.25331688;24.37078476;35.69969559;21.46600001;0;197.4655762;23
Sardinella;aurita;-4.25;11.25;3001:141:1;89;25.6444397;19.95740891;27.63689232;35.85438919;19.66400072;0;141.7253418;26
Sardinella;aurita;-4.25;11.75;3001:141:2;39;25.70288467;24.28493881;24.97811508;35.40323639;21.14066482;0;195.8216858;5
Sardinella;aurita;-3.75;11.25;3001:131:3;22;25.82335091;24.01792526;25.93437195;35.29040146;19.10093985;0;191.3314819;6
