Origin;Destination;StartTime;EndTime;Time (Minutes);Distance (km);Fresh Biomass(AB);Processed biomass;Number-tracks(fresh);Number-trucks(processed);Fresh-Co2 (Tons);Processed-Co2 (Tons)
Dakar;Saint-Louis;08:00:00;12:19:07;259.130278;215.941899;119;3;3;1;136.04;45.35
Dakar;Fatick;08:00:00;10:47:11;167.18548;139.321234;195;22;5;1;146.29;29.26
Dakar;Louga;08:00:00;11:40:07;220.130647;183.442206;78;12;2;1;77.05;38.52
Dakar;Matam;08:00:00;18:23:41;623.695138;519.745948;65;101;2;3;218.29;327.44
Dakar;Tambacounda;08:00:00;17:06:51;546.864837;455.720697;86;8;2;1;191.40;95.70
Dakar;Kaffrine;08:00:00;12:50:36;290.614711;242.178926;22;140;1;4;50.86;203.43
Dakar;Sédhiou;08:00:00;15:28:34;448.58031;373.816925;17;0;1;0;78.50;0.00
Dakar;Thiès;08:00:00;09:15:20;75.346336;62.788613;744;161;18;4;237.34;52.74
Dakar;Ziguinchor;08:00:00;16:32:14;512.239008;426.86584;50;0;2;0;179.28;0.00
Dakar;Kolda;08:00:00;15:41:31;461.529968;384.608306;27;4;1;1;80.77;80.77
Dakar;Kédougou;08:00:00;21:41:24;821.410372;684.508643;11;0;1;0;143.75;0.00
Dakar;Kaolack;08:00:00;11:37:57;217.958219;181.631849;631;141;15;4;572.14;152.57
Dakar;Touba;08:00:00;11:38:57;218.953575;182.461312;941;186;22;5;842.97;191.58
Fatick;Dakar;08:00:00;10:47:11;167.18548;139.321234;4221;290;97;7;2837.97;204.80
Fatick;Saint-Louis;08:00:00;12:10:05;250.088986;208.407489;12;0;1;0;43.77;0.00
Fatick;Fatick;08:00:00;08:00:00;0;0;0;109;0;3;0.00;0.00
Fatick;Louga;08:00:00;11:16:08;196.136587;163.447156;40;0;1;0;34.32;0.00
Fatick;Matam;08:00:00;16:28:58;508.978544;424.148786;71;0;2;0;178.14;0.00
Fatick;Tambacounda;08:00:00;14:20:51;380.851881;317.376567;0;16;0;1;0.00;66.65
Fatick;Kaffrine;08:00:00;10:04:36;124.601755;103.834796;0;10;0;1;0.00;21.81
Fatick;Sédhiou;08:00:00;12:42:34;282.567354;235.472795;0;0;0;0;0.00;0.00
Fatick;Thiès;08:00:00;09:47:17;107.291508;89.40959;0;116;0;3;0.00;56.33
Fatick;Ziguinchor;08:00:00;13:46:13;346.226052;288.52171;0;0;0;0;0.00;0.00
Fatick;Kolda;08:00:00;12:55:31;295.517012;246.264176;11;85;1;2;51.72;103.43
